"Publication Year","Author","Title","Subgenre","Page Count",,"Total Authors:",300
2014,"Peter F. Hamilton","The Abyss Beyond Dreams","Hard Space Opera",640,,,
2014,"Peter Watts","Echopraxia","Neurobiology / First Contact",384,,,
2014,"Robin Sloan","Mr. Penumbra's 24-Hour Bookstore","Information Theory / Cryptography",384,,,
2014,"Stephen Baxter","Ultima","Quantum Physics / Alternate Reality",450,,,
2014,"Stjepan Sejic","Death Vigil","Materials Science / Engineering",240,,,
2014,"Taiyo Fujii","Orbital Cloud","Orbital Mechanics / Cybersecurity",528,,,
2014,"William Hertling","Avogadro Corp","AI / Evolutionary Algorithms",302,,,
2014,"William Hertling","The Last Firewall","AI / Information Theory",340,,,
2015,"A.K. DuBoff","Architects of Resilience","Aerospace Engineering / Planetary Science",310,,,
2015,"Adam Roberts","The Thing Itself","Quantum Physics / Theoretical Physics",352,,,
2015,"Adrian Tchaikovsky","Children of Time","Biological Hard SF / Evolution",600,,,
2015,"Alastair Reynolds","Slow Bullets","Memory / Relativistic SF",192,,,
2015,"Alastair Reynolds","Poseidon's Wake","Interstellar Travel / First Contact",608,,,
2015,"Andreas Christensen","The Darkness Between the Stars","Astrobiology / Physics",320,,,
2015,"Baoshu","The Redemption of Time","Theoretical Physics / Cosmology",352,,,
2015,"Ben Bova","Death Wave","Astrophysics / First Contact",320,,,
2015,"Ben Bova","Power Surge","Energy Industry / Political Hard SF",320,,,
2015,"Brenda Cooper","Edge of Dark","Bio-engineering / Cybernetics",400,,,
2015,"Charles Stross","The Annihilation Score","Social Science Hard SF / Information Theory",416,,,
2015,"Chris Pourteau","Shadows over Sol","Planetary Science / Physics",340,,,
2015,"Claire Vaye Watkins","Gold Fame Citrus","Hydrology / Geology",352,,,
2015,"David Walton","Superposition","Quantum Physics / Particle Physics",304,,,
2015,"Eric Johnston","The Prism","Physics / Optical Engineering",310,,,
2015,"G.S. Jennsen","Dissonance","Relativistic SF / Physics",430,,,
2015,"Greg Bear","Killing Titan","Hard Military SF / Solar System Exploration",336,,,
2015,"Ian Douglas","Altered Star","Relativistic SF / Military SF",432,,,
2015,"Jacek Dukaj","The Old Axolotl","Digital Consciousness / Robotic Hard SF",300,,,
2015,"James Cambias","Corsair","Orbital Mechanics / Aerospace Engineering",320,,,
2015,"James S.A. Corey","Nemesis Games","Near-Future Extrapolation",544,,,
2015,"Jamie Sawyer","Legion","Neuroscience / Military Engineering",496,,,
2015,"Jamie Sawyer","Artefact","Cybernetics / Bio-engineering",544,,,
2015,"Jay Allan","Marines","Power Armor / Kinetic Energy",380,,,
2015,"John Ringo","Under a Graveyard Sky","Pandemic / Epidemiological SF",480,,,
2015,"John Scalzi","The End of All Things","Hard Military SF",384,,,
2015,"Jon Wallace","Steeple","Materials Science / Engineering",320,,,
2015,"Joshua Dalzelle","Call to Arms","Hard Military SF",346,,,
2015,"Kim Stanley Robinson","Aurora","Generation Ships / Interstellar Travel",496,,,
2015,"Linda Nagata","Going Dark","Robotic/AI Hard SF / Near-Future",416,,,
2015,"M.R. Carey","The Girl With All the Gifts","Virology / Pathopathology",448,,,
2015,"Marko Kloos","Angles of Attack","Physics / Tactical Combat",352,,,
2015,"Nancy Kress","The Best of Nancy Kress","Medical/Biological Hard SF",600,,,
2015,"Neal Asher","Dark Intelligence","Robotic/AI Hard SF",448,,,
2015,"Neal Stephenson","Seveneves","Orbital Mechanics / Asteroid Mining",880,,,
2015,"Paolo Bacigalupi","The Water Knife","Hydrology / Resource Economics",384,,,
2015,"Peter Cawdron","Free Fall","Post-Apocalyptic / Hard Zombie SF",104,,,
2015,"Peter Cawdron","Alien Space Tentacle Porn","First Contact / Social Satire (Hard)",284,,,
2015,"Peter Cawdron","All Our Tomorrows","Post-Apocalyptic / Hard Zombie SF",362,,,
2015,"Sarah Lotz","The Three","Aeronautics / Forensic Science",544,,,
2015,"Seth Dickinson","The Traitor Baru Cormorant","Rigorous Economics/Political Science",400,,,
2015,"Sylvain Neuvel","Sleeping Giants","Materials Science / Mechanical Engineering",320,,,
2015,"T.R. Napper","Neon Leviathan","Neuroscience / Information Theory",320,,,
2015,"Taiyo Fujii","Gene Mapper","Haikasoru MMPB / Genetic Engineering",384,,,
2016,"Ada Palmer","Too Like the Lightning","Sociopolitical Philosophy/History",432,,,
2016,"Alastair Reynolds","The Iron Tactician","Relativistic SF / Space Opera",130,,,
2016,"Alastair Reynolds","Revenger","Space Industry / Asteroid Mining",432,,,
2016,"Alastair Reynolds, Stephen Baxter","The Medusa Chronicles","Solar System Exploration / AI",352,,,
2016,"Alexandra Oliva","The Last One","Psychological Realism / Survivalism",320,,,
2016,"Becky Chambers","A Closed and Common Orbit","Robotic/AI Hard SF / Neurobiology",365,,,
2016,"Ben Bova","Apes and Angels","Astrobiology / First Contact",320,,,
2016,"Blake Crouch","Dark Matter","Quantum Physics / Alternate History",352,,,
2016,"Brandon Q. Morris","The Enceladus Mission","Solar System Exploration / Astrobiology",318,,,
2016,"Brenda Cooper","Spear of Light","Cybernetics / Information Theory",384,,,
2016,"C.A. Higgins","Lightless","Orbital Mechanics / AI",304,,,
2016,"Chris Beckett","Mother of Eden","Xenobiology / Sociology",400,,,
2016,"Chris Fox","Voidhawk","Aerospace Engineering / Ballistics",280,,,
2016,"Chris Pourteau","Starfall","Astrophysics / Aerospace Engineering",310,,,
2016,"Cixin Liu","The Wandering Earth (Collection)","Planetary Science / Physics SF",464,,,
2016,"Dan Thornton","The Last Voyage of the Starship Terrania","Aerospace Engineering",350,,,
2016,"Daniel H. Wilson","The Clockwork Dynasty","Robotic Hard SF / Materials Science",320,,,
2016,"David Walton","Supersymmetry","Quantum Physics / Theoretical Physics",336,,,
2016,"Dennis E. Taylor","For We Are Many","Astrobiology / Orbital Mechanics",360,,,
2016,"Dexter Palmer","Version Control","Theoretical Physics / Temporal Mechanics",496,,,
2016,"Eliot Peper","Cumulus","Cybernetics / Sociology",300,,,
2016,"Greg Bear","Take Back the Sky","Hard Military SF / Interstellar",352,,,
2016,"Hayley Stone","Machinations","Cybernetics / Robotics",350,,,
2016,"Huw Steer","The Spheres of Influence","Orbital Mechanics / Physics",340,,,
2016,"J.S. Morin","Project Mars","Aerospace Engineering / Planetary Science",310,,,
2016,"Jack Skillingstead","The Chaos Function","Theoretical Physics / Temporal Mechanics",320,,,
2016,"James Cambias","Arkwright","Astrobiology / Interstellar Travel",352,,,
2016,"James S.A. Corey","Babylon's Ashes","Hard Military SF",576,,,
2016,"Jamie Sawyer","Redemption","Cybernetics / Information Theory",120,,,
2016,"John E. Stith","Tiny Time Machine","Theoretical Physics / Temporal Mechanics",220,,,
2016,"Ken MacLeod","The Corporation Wars: Dissidence","Robotic/AI Hard SF",320,,,
2016,"Ken MacLeod","The Corporation Wars: Insurgence","Robotic/AI Hard SF",320,,,
2016,"Lois McMaster Bujold","Gentleman Jole and the Red Queen","Biological Hard SF",352,,,
2016,"Malka Older","Infomocracy","Information Theory / Social Hard SF",350,,,
2016,"Malka Older","Infomocracy","Political Science/Information Theory",352,,,
2016,"Mick Farren","Conflagration","Astrobiology / Physics",352,,,
2016,"Nancy Kress","Tomorrow's Kin","Pandemic / Epidemiological SF",352,,,
2016,"Neal Asher","War Factory","Robotic/AI Hard SF",608,,,
2016,"P.W. Singer & August Cole","Ghost Fleet","Military Technology / Cybersecurity",416,,,
2016,"Paul McAuley","Into Everywhere","First Contact / Nanotechnology",400,,,
2016,"Peter Cawdron","Starship Mine","Relativistic SF / First Contact",320,,,
2016,"Peter Cawdron","Welcome to the Occupied States","First Contact / Sociological",340,,,
2016,"Peter Cawdron","Retrograde","Planetary Science / Mars Colonization",352,,,
2016,"Peter F. Hamilton","Night Without Stars","Hard Space Opera",800,,,
2016,"Robert J. Sawyer","Quantum Night","Neurobiology / Quantum Physics",360,,,
2016,"Robert Kroese","The Dream of the Iron Dragon","Materials Science / Engineering",420,,,
2016,"Sarah Lotz","Day Four","Marine Engineering / Epidemiology",384,,,
2016,"Seth Dickinson","The Monster Baru Cormorant","Rigorous Economics/Political Science",528,,,
2016,"Sylvain Neuvel","Sleeping Giants","First Contact / Robotic Hard SF",336,,,
2016,"Yoon Ha Lee","Ninefox Gambit","Information Theory / Military SF",384,,,
2016,"Yoss","Super Extra Grande","Xenobiology / Veterinary Science (Hard)",250,,,
2017,"A.K. DuBoff","Renegade","Astrophysics / Aerospace Engineering",354,,,
2017,"Ada Palmer","Seven Surrenders","Sociopolitical Philosophy/History",608,,,
2017,"Ada Palmer","The Will to Battle","Sociopolitical Philosophy/History",384,,,
2017,"Adrian Tchaikovsky","Ironclads","Hard Military SF / Robotics",160,,,
2017,"Adrian Tchaikovsky","Dogs of War","Genetic Engineering / AI",336,,,
2017,"Alastair Reynolds","The Prefect (Revised)","AI / Space Industry",512,,,
2017,"Allen Steele","Avengers of the Moon","Aerospace Engineering / Physics",320,,,
2017,"Andy Weir","Artemis","Moon Colonization / Engineering",320,,,
2017,"Ben Bova","Survival","Astrobiology / First Contact",320,,,
2017,"Ben Bova","The Exodus Towers","Engineering / Lunar Construction",384,,,
2017,"Brandon Q. Morris","The Titan Probe","Solar System Exploration",288,,,
2017,"Brandon Q. Morris","The Io Encounter","Solar System Exploration",302,,,
2017,"Brenda Cooper","Wilders","Ecology / Biological Science",352,,,
2017,"Chris Beckett","Daughter of Eden","Xenobiology / Evolutionary Theory",352,,,
2017,"Chris Fox","The Last Command","Orbital Mechanics / Engineering",302,,,
2017,"Christopher G. Nolan","The Janus Legacy","Genetic Engineering / Bioethics",325,,,
2017,"Daniel Suarez","Change Agent","Biopunk / Medical Hard SF",416,,,
2017,"David Walton","The Genius Plague","Mycology / Evolutionary Biology",384,,,
2017,"Dennis E. Taylor","All These Worlds","Interstellar Travel / First Contact / Physics",350,,,
2017,"Dmitry Glukhovsky","Metro 2035","Social Science Hard SF / Ballistics",480,,,
2017,"Eliot Peper","Bandwidth","Information Theory / Neuroscience",304,,,
2017,"Elizabeth Moon","Cold Welcome","Survival / Planetary Science",400,,,
2017,"Emma Newman","Planetfall","Geology / 3D Engineering (Hard)",320,,,
2017,"Emma Newman","After Atlas","Forensic Science / Geophysics",368,,,
2017,"G.S. Jennsen","Exin Ex Machina","Cybernetics / AI / Robotics",280,,,
2017,"Greg Egan","Dichronauts","Alternative Geometry / Physics",320,,,
2017,"Hayley Stone","Counterpart","Cybernetics / Information Theory",320,,,
2017,"Hiroyuki Morioka","Banner of the Stars V","Physics / Information Theory",300,,,
2017,"Jack McDevitt","The Long Sunset","First Contact / Interstellar",416,,,
2017,"Jackson Musker","The Big Empty","Planetary Science / Physics",300,,,
2017,"James Bradley","Clade","Climatology / Evolutionary Biology",320,,,
2017,"James S.A. Corey","Persepolis Rising","Space Colonization / Hard Military SF",592,,,
2017,"Jamie Sawyer","Pariah","Exobiology / Orbital Mechanics",480,,,
2017,"Joe Zieja","Communication Failure","Information Theory / Cybernetics",368,,,
2017,"John Scalzi","The Collapsing Empire","Hard Space Opera / Relativistic SF",336,,,
2017,"Joshua T. Calvert","The Object","Astrophysics / First Contact",350,,,
2017,"Ken MacLeod","The Corporation Wars: Emergence","Robotic/AI Hard SF",336,,,
2017,"Kim Stanley Robinson","New York 2140","Climate Fiction (Cli-Fi)",624,,,
2017,"Linda Nagata","The Last Good Man","Near-Future Extrapolation",448,,,
2017,"M.R. Carey","The Boy on the Bridge","Microbiology / Epidemiology",384,,,
2017,"Malka Older","Null States","Political Science/Information Theory",432,,,
2017,"Marc-Uwe Kling","QualityLand","Algorithms / Information Theory",352,,,
2017,"Martha Wells","All Systems Red","Robotic/AI Hard SF / Security",176,,,
2017,"Mur Lafferty","Six Wakes","Generation Ships / Cryonics",400,,,
2017,"Nancy Kress","If Tomorrow Comes","Interstellar Travel / Xenobiology",336,,,
2017,"Neal Asher","Infinity Engine","Robotic/AI Hard SF",608,,,
2017,"Nick Harkaway","Gnomon","Information Theory / Neurobiology / AI",688,,,
2017,"Omar El Akkad","American War","Social Science Hard SF / Ecology",352,,,
2017,"Peter Cawdron","Nosferatu","Hard Alternate History / Horror",318,,,
2017,"Peter Cawdron","Maelstrom","Planetary Science / First Contact",344,,,
2017,"Peter Cawdron","What We Left Behind","Post-Apocalyptic / Hard Zombie SF",344,,,
2017,"Rick Partlow","A War to the Knife","Cybernetics / Power Armor Physics",380,,,
2017,"Robert Kroese","The Dawn of the Iron Dragon","Ballistics / Mechanical Engineering",380,,,
2017,"Robin Sloan","Sourdough","Microbiology / Bio-engineering",272,,,
2017,"Sam J. Miller","Blackfish City","Climatology / Civil Engineering",336,,,
2017,"Sam J. Miller","The Art of Starving","Sociobiology / Neuroscience",384,,,
2017,"Stephen Baxter","Xeelee: Vengeance","Physics / Megastructures",400,,,
2017,"Sylvain Neuvel","Waking Gods","First Contact / Robotic Hard SF",336,,,
2017,"Vaughan Heppner","The Lost Starship","Astrophysics / Engineering",410,,,
2017,"Yoon Ha Lee","Raven Stratagem","Information Theory / Military SF",384,,,
2018,"Adrian Tchaikovsky","The Expert System's Brother","Xenobiology / Evolutionary SF",176,,,
2018,"Alastair Reynolds","Elysium Fire","Space Industry / Near-Future",432,,,
2018,"Andreas Christensen","Silent Dawn","Cybernetics / Information Theory",290,,,
2018,"Arkady Martine","A Memory Called Empire","Linguistic Anthropology/Political Science",464,,,
2018,"Becky Chambers","Record of a Spaceborn Few","Space Colonization / Sociology (Hard)",359,,,
2018,"Ben Bova","Power Failure","Energy Industry / Political Hard SF",320,,,
2018,"Brandon Q. Morris","The Moorea Anomaly","Astrobiology / First Contact",306,,,
2018,"Brandon Q. Morris","Silent Sun","Solar Science / Physics",340,,,
2018,"Brandon Q. Morris","The Hole","Quantum Physics / Astrophysics",350,,,
2018,"Brenda Cooper","Keepers","Ecology / Biological Science",368,,,
2018,"Dominik A. Meier","The Genesis Signal","Biological Hard SF / Communications",320,,,
2018,"Eliot Peper","Borderless","Information Theory / Geopolitics",312,,,
2018,"Eliot Peper","Bandwidth","Information Geopolitics/Economics",288,,,
2018,"Elizabeth Moon","Into the Fire","Command / Engineering",416,,,
2018,"Emma Newman","Before Mars","Psychological Realism / Planetary Science",336,,,
2018,"G.S. Jennsen","Of a Darker Void","Aerospace Engineering / Physics",312,,,
2018,"Gareth L. Powell","Embers of War","Hard Space Opera / Robotic Hard SF",416,,,
2018,"Greg Egan","Perihelion Summer","Climate Fiction (Cli-Fi)",160,,,
2018,"Jamie Sawyer","Exodus","Astrophysics / Ballistics",448,,,
2018,"Joe Zieja","Mechanical Failure","Robotics / Mechanical Engineering",352,,,
2018,"John Hemry","A Just Determination","Orbital Mechanics / Legal Physics",304,,,
2018,"John Varley","Irontown Blues","Cyberpunk (Hard Variant)",352,,,
2018,"Joshua Dalzelle","Iron & Blood","Hard Military SF",364,,,
2018,"Lavanya Lakshminarayan","Analog/Virtual","Information Theory / Social Hard SF",350,,,
2018,"Malka Older","State Tectonics","Political Science/Information Theory",448,,,
2018,"Mary Robinette Kowal","The Fated Sky","Solar System Exploration / Colonization",384,,,
2018,"Mary Robinette Kowal","The Calculating Stars","Hard Alternate History / Aerospace Engineering",448,,,
2018,"Nancy Kress","Terran Tomorrow","Pandemic / Post-Apocalyptic (Hard)",384,,,
2018,"Neal Asher","The Soldier","Megastructures / Dyson Spheres",608,,,
2018,"Paul McAuley","Austral","Climate Fiction (Cli-Fi)",288,,,
2018,"Peter Cawdron","Mister Fluffy Bunny","Near-Future / Dark Comedy",262,,,
2018,"Peter Cawdron","Reentry","Aerospace Engineering / Planetary Science",330,,,
2018,"Peter Cawdron","Losing Mars","Mars Colonization / Geopolitics",360,,,
2018,"Peter F. Hamilton","Salvation","Hard Space Opera / Quantum Physics",576,,,
2018,"Peter Watts","The Freeze-Frame Revolution","Relativistic SF / AI",192,,,
2018,"Ree Soesbee","The Broken Earth (Fractured World)","Geophysics / Materials Science",320,,,
2018,"Richard K. Morgan","Thin Air","Cyberpunk / Planetary Romance (Hard)",544,,,
2018,"Robert Kroese","The Death of the Iron Dragon","Geophysics / Metallurgy",400,,,
2018,"S.B. Divya","Runtime","Cybernetics / Information Theory",120,,,
2018,"Sam J. Miller","Blackfish City","Oceanography / Near-Future Engineering",336,,,
2018,"Sergei Lukyanenko","The Genome","Genetic Engineering / Biopunk",416,,,
2018,"Stephen Baxter","Xeelee: Redemption","Cosmology / Physics",400,,,
2018,"Sylvain Neuvel","Only Human","First Contact / Robotic Hard SF",336,,,
2018,"Taiyo Fujii","Hello World","Information Theory / Cybersecurity",340,,,
2018,"Vandana Singh","Ambiguity Machines and Other Stories","Quantum Physics / Relativistic SF",304,,,
2018,"Vandana Singh","Ambiguity Machines and Other Stories","Particle Physics/Sociological Hard SF",304,,,
2018,"Yoon Ha Lee","Revenant Gun","Information Theory / Military SF",400,,,
2019,"Adrian Tchaikovsky","Walking to Aldebaran","Astrophysics / Relativistic SF",144,,,
2019,"Adrian Tchaikovsky","Children of Ruin","Xenobiology / First Contact",576,,,
2019,"Alastair Reynolds","Permafrost","Cli-Fi / Quantum Physics",176,,,
2019,"Alastair Reynolds","Shadow Captain","Space Industry / Asteroid Mining",448,,,
2019,"Baoshu","The Seven Wonders of a Relic","Astrobiology / Archaeology",310,,,
2019,"Becky Chambers","To Be Taught, If Fortunate","Astrobiology / Planetary Science",176,,,
2019,"Ben Bova","Earth","Environmental Hard SF / Astrophysics",320,,,
2019,"Blake Crouch","Recursion","Neurobiology / Hard Time Travel",336,,,
2019,"Brandon Q. Morris","The Triton Disaster","Solar System Exploration",312,,,
2019,"Brandon Q. Morris","Return to Enceladus","Astrobiology / Solar System",340,,,
2019,"Brandon Q. Morris","Mars Nation 1","Planetary Science / Mars Colonization",350,,,
2019,"Brandon Q. Morris","Mars Nation 2","Planetary Science / Mars Colonization",350,,,
2019,"Brandon Q. Morris","Mars Nation 3","Planetary Science / Mars Colonization",350,,,
2019,"Brandon Q. Morris","The Rift","Astrophysics / Space Industry",360,,,
2019,"Brandon Q. Morris","Proxima Dying","Relativistic SF / Exoplanets",380,,,
2019,"Brandon Q. Morris","Proxima Rising","Relativistic SF / Exoplanets",380,,,
2019,"C.J. Cherryh","Alliance Rising","Space Industry / Space Colonization",352,,,
2019,"C.R. Wahl","Waking Iceman","Cryogenics / Materials Science",310,,,
2019,"Daniel Suarez","Delta-v","Asteroid Mining / Space Industry",448,,,
2019,"David Walton","Three Laws Lethal","Cybernetics / AI / Autonomous Vehicles",352,,,
2019,"Derek Künsken","The Quantum Garden","Theoretical Physics / Time Dilation",384,,,
2019,"Eliot Peper","Breach","Information Theory / Cybersecurity",300,,,
2019,"Elizabeth Bear","Ancestral Night","Information Theory / Relativistic SF",512,,,
2019,"Emma Newman","Atlas Alone","Information Theory / Cybernetics",320,,,
2019,"Gareth L. Powell","Fleet of Knives","Hard Space Opera / Robotic Hard SF",400,,,
2019,"James S.A. Corey","Auberon","Space Industry / Colonization",176,,,
2019,"James S.A. Corey","Tiamat's Wrath","Relativistic SF / First Contact",608,,,
2019,"Jamie Sawyer","Dominion","Virology / Planetary Science",480,,,
2019,"Jeffrey A. Carver","Crucible of Time","Theoretical Physics / Astrophysics",400,,,
2019,"Jeffrey A. Carver","The Reefs of Time","Relativistic SF / Chronology",432,,,
2019,"Jim Al-Khalili","Sunfall","Solar Physics / Geophysics",352,,,
2019,"Joe Zieja","System Failure","Computer Science / Engineering",336,,,
2019,"John Hemry","Burden of Proof","Orbital Mechanics / Physics",320,,,
2019,"John Lanchester","The Wall","Sea-Level Engineering / Geopolitics",288,,,
2019,"Joshua Dalzelle","Destroyer","Orbital Mechanics / Physics",344,,,
2019,"Joshua T. Calvert","The Fossil","Planetary Science / First Contact",350,,,
2019,"Karl Schroeder","Stealing Worlds","Cybernetics / Cryptocurrency Economics",336,,,
2019,"Lina Rather","Sisters of the Vast Black","Astrobiology / Bio-engineering",176,,,
2019,"Linda Nagata","Silver","Megastructures / Robotic Hard SF",380,,,
2019,"Linda Nagata","Edges","Nanotechnology / Interstellar Travel",406,,,
2019,"Liu Cixin","Supernova Era","Social Science Hard SF",352,,,
2019,"Michael Crichton & Daniel H. Wilson","The Andromeda Evolution","Astrobiology / First Contact",384,,,
2019,"Naomi Alderman","The Power","Social SF / Bio-electricity",400,,,
2019,"Neal Asher","The Warship","Hard Space Opera / Military SF",496,,,
2019,"Neal Stephenson","Fall; or, Dodge in Hell","Digital Consciousness / Brain Uploading",896,,,
2019,"Nils M. von Hackländer","The Apollo Protocol","Space Industry / Lunar Science",310,,,
2019,"Peter Cawdron","Hello World","Robotic/AI Hard SF / First Contact",338,,,
2019,"Peter Cawdron","Reentry","Planetary Science / Mars Colonization",368,,,
2019,"Peter Cawdron","3zekiel","Xenobiology / Anthropology (Hard)",382,,,
2019,"Peter F. Hamilton","Salvation Lost","Hard Space Opera / First Contact",512,,,
2019,"Sayuri Ueda","Lila and the Winds of War","Near-Future / Climate Fiction",400,,,
2019,"Seth Dickinson","The Monster Baru Cormorant","Economics / Geopolitics",464,,,
2019,"Yoon Ha Lee","Hexarchate Stories","Information Theory / Relativistic SF",240,,,
2020,"Adam Roberts","The Compelled","Physics / Materials Science",256,,,
2020,"Adrian Tchaikovsky","Firewalkers","Cli-Fi / Space Elevator",176,,,
2020,"Adrian Tchaikovsky","The Doors of Eden","Quantum Physics / Alternate History",608,,,
2020,"Alastair Reynolds","Bone Silence","Space Industry / Asteroid Mining",608,,,
2020,"Ben Bova","Uranus","Planetary Science / Space Industry",320,,,
2020,"Ben Bova","Neptune","Planetary Science / Astrophysics",368,,,
2020,"Ben Bova, Doug Beason","Space Station Down","Space Industry / Orbital Mechanics",320,,,
2020,"Brandon Q. Morris","Impact: Titan","Orbital Mechanics / Asteroid Impact",320,,,
2020,"Brandon Q. Morris","Impact: Earth","Orbital Mechanics / Asteroid Impact",330,,,
2020,"Brandon Q. Morris","The Dark Spring","Astrobiology / Solar System",340,,,
2020,"Brandon Q. Morris","Amphitrite","Planetary Science / Planet Nine",360,,,
2020,"Brandon Q. Morris","Clouds of Venus","Astrobiology / Venusian Science",360,,,
2020,"Brandon Q. Morris","The Jupiter Catastrophe","Planetary Science / Solar System",360,,,
2020,"Brandon Q. Morris","Ghost Kingdom","Cosmology / Big Rip Theory",380,,,
2020,"Brandon Q. Morris","Proxima Dreaming","Relativistic SF / Exoplanets",380,,,
2020,"Brandon Q. Morris","Rebirth","Cosmology / Big Rip Theory",380,,,
2020,"Brandon Q. Morris","The Death of the Universe","Cosmology / Big Rip Theory",380,,,
2020,"C.J. Cherryh","Resurgence","Space Industry / Near-Future",352,,,
2020,"Cadwell Turnbull","The Lesson","Astrobiology / First Contact",288,,,
2020,"Chen Qiufan","The Waste Tide","Nanotechnology / Ecological Hard SF",352,,,
2020,"Christopher Ruocchio","Demon in White","Astrophysics / Relativistic SF",768,,,
2020,"Dennis E. Taylor","Heaven's River","Megastructures / Digital Consciousness",552,,,
2020,"Eliot Peper","Veil","Climatology / Geoengineering",304,,,
2020,"Gareth L. Powell","Light of Impossible Stars","Hard Space Opera",400,,,
2020,"Gautam Bhatia","The Wall","Megastructures / Engineering",400,,,
2020,"Jenny Offill","Weather","Climatology / Psychology (Hard)",208,,,
2020,"John Hemry","Rule of Evidence","Forensic Science / Ballistics",336,,,
2020,"John Scalzi","The Last Emperox","Hard Space Opera",320,,,
2020,"Kim Stanley Robinson","The Ministry for the Future","Geoengineering / Atmospheric Physics",576,,,
2020,"Liu Cixin","Of Ants and Dinosaurs","Biological Hard SF / Alternate History",256,,,
2020,"Marc-Uwe Kling","QualityLand 2.0","AI / Economic Simulation",432,,,
2020,"Mary Robinette Kowal","The Relentless Moon","Space Industry / Moon Colonization",544,,,
2020,"P.W. Singer & August Cole","Burn-In","AI / Robotics / Sociology",416,,,
2020,"Paul McAuley","War of the Maps","Megastructures / Planetary Romance",432,,,
2020,"Peter Cawdron","Wherever Seeds May Fall","Orbital Mechanics / Astrobiology",340,,,
2020,"Peter Cawdron","But The Stars","First Contact / Relativistic SF",364,,,
2020,"Rick Partlow","Contact Front","Engineering / Planetary Science",400,,,
2020,"Robert J. Sawyer","The Oppenheimer Alternative","Hard History / Physics",450,,,
2020,"S.B. Divya","Machinehood","Robotic/AI Hard SF / Biopunk",368,,,
2020,"Sayuri Ueda","The Cage of Zeus","Xenobiology / Planetary Science",400,,,
2020,"Seth Dickinson","The Tyrant Baru Cormorant","Economics / Bio-engineering",608,,,
2020,"Seth Dickinson","The Tyrant Baru Cormorant","Rigorous Economics/Political Science",704,,,
2020,"Tlotlo Tsamaase","The Silence of the Wilting Skin","Cybernetics / Urban Engineering",200,,,
2020,"Travis S. Taylor","On the Edge of Greatness","Solar System Exploration",416,,,
2020,"Yoon Ha Lee","Phoenix Extravagant","Robotic/AI Hard SF / Cybernetics",416,,,
2021,"Ada Palmer","Perhaps the Stars","Sociopolitical Philosophy/History",608,,,
2021,"Adrian Tchaikovsky","One Day All This Will Be Yours","Time Travel / Physics",160,,,
2021,"Adrian Tchaikovsky","Elder Race","Astrobiology / First Contact",208,,,
2021,"Adrian Tchaikovsky","Bear Head","Bioforms / Neurobiology",400,,,
2021,"Adrian Tchaikovsky","Shards of Earth","Hard Space Opera / Relativistic SF",560,,,
2021,"Al Hess","Mazarin Blues","Cybernetics / Robotics",312,,,
2021,"Alastair Reynolds","Inhibitor Phase","Relativistic SF / Megastructures",480,,,
2021,"Alastair Wells","Exemplar","Robotics / Artificial Intelligence",360,,,
2021,"Alexandra Oliva","Forget Me Not","Biological Science / Psychology",352,,,
2021,"Andy Weir","Project Hail Mary","Astrobiology / Physics SF",496,,,
2021,"Arkady Martine","A Desolation Called Peace","Xenolinguistics/Sociology",496,,,
2021,"B.V. Larson","Armor World","Materials Science / Ballistics",400,,,
2021,"Becky Chambers","A Psalm for the Wild-Built","Robotic/AI Hard SF / Ecology",160,,,
2021,"Becky Chambers","The Galaxy, and the Ground Within","Xenobiology / Astrobiology",336,,,
2021,"Ben Bova","Power Challenges","Energy Industry / Political Hard SF",320,,,
2021,"Brandon Q. Morris","The Wall: Eternal Day","Near-Future / Climate Hard SF",340,,,
2021,"Brandon Q. Morris","The Beacon","Astrobiology / First Contact",350,,,
2021,"Brandon Q. Morris","Amphitrite 2","Planetary Science / Planet Nine",360,,,
2021,"Brandon Q. Morris","Amphitrite 3","Planetary Science / Planet Nine",360,,,
2021,"Brandon Q. Morris","Evolution","AI / Digital Consciousness",380,,,
2021,"Brandon Q. Morris","Into the Darkness","AI / Digital Consciousness",380,,,
2021,"Brandon Q. Morris","Into the Light","AI / Digital Consciousness",380,,,
2021,"Brandon Q. Morris","Marchenko's Children","AI / Digital Consciousness",380,,,
2021,"Brandon Q. Morris","Runaway","AI / Digital Consciousness",380,,,
2021,"Charlotte McConaghy","Migrations","Ornithology / Marine Biology",320,,,
2021,"Chris Hadfield","The Apollo Murders","Aerospace Engineering / Orbital Mechanics",480,,,
2021,"Dan Thornton","Fleet of the Forgotten","Relativistic Tactics",320,,,
2021,"Deepak Malhotra","The Peacemaker's Code","Game Theory/Diplomatic Strategy",484,,,
2021,"Derek Künsken","The House of Styx","Planetary Science / Chemistry (Venus)",528,,,
2021,"Dominik A. Meier","The Final Protocol","Cybernetics / Information Theory",340,,,
2021,"Eliot Peper","Reap3r","Quantum Computing / Virology",320,,,
2021,"Ethan Sewell","The Kuiper Belt Job","Orbital Mechanics / Ballistics",340,,,
2021,"Greg Bear","The Unfinished Land","Near-Future / Climate",384,,,
2021,"J.N. Chaney","Relic of the Gods","Materials Science / Physics",370,,,
2021,"Jack Campbell","Boundless","Relativistic Physics / Strategic SF",352,,,
2021,"James Hider","Ripe","Biological Realism/Sociopolitical Collapse",312,,,
2021,"James S.A. Corey","Leviathan Falls","Singularity / Megastructures",544,,,
